"","Time","Force 1","Force 2","Angle","Velocity","Acceleration","Force1","Force2","Ratio","Torque","Length","Spin","Mass","V_bin"
"3560","1.04","7.70299145299","-5.64025554727","0.12217304764",0.993868046275,"2.12105985485",7.70299145299,-5.64025554727,-1.36571674606453,0.9862410515304,"30cm","spin","100g",1
"3561","1.06","7.5235042735","-5.51830481784","0.13962634016",1.18779351872,"1.95272177114",7.5235042735,-5.51830481784,-1.36337236195751,0.9629764964898,"30cm","spin","100g",1.2
"3562","1.08","7.43376068376","-5.48781713549","0.174532925199",1.18779351872,"-3.06375312368",7.43376068376,-5.48781713549,-1.35459336567275,0.9504295884993,"30cm","spin","100g",1.2
"3563","1.1","7.34401709402","-5.36586640606","0.191986217719",0.969627362219,"-3.97277877576",7.34401709402,-5.36586640606,-1.36865447968029,0.9406265719212,"30cm","spin","100g",1
"3564","1.12","7.25427350427","-5.21342799428","0.209439510239",0.921145994108,"0.0336676167437",7.25427350427,-5.21342799428,-1.39145942213629,0.9317381858121,"30cm","spin","100g",0.9
"3565","1.14","7.40384615385","-5.3353787237","0.226892802759",0.969627362219,"4.17478447622",7.40384615385,-5.3353787237,-1.387688960291,0.9505155613665,"30cm","spin","100g",1
"3566","1.16","7.5235042735","-5.48781713549","0.244346095279",1.18779351872,"4.0064463925",7.5235042735,-5.48781713549,-1.37094660549913,0.9638911269603,"30cm","spin","100g",1.2
"3567","1.18","7.55341880342","-5.51830481784","0.279252680319",1.21203420277,"0.101002850231",7.55341880342,-5.51830481784,-1.36879332562433,0.9674636759778,"30cm","spin","100g",1.2
"3568","1.2","7.5235042735","-5.5487925002","0.296705972839",1.06659009844,"1.14469896929",7.5235042735,-5.5487925002,-1.35588135134425,0.962061866019,"30cm","spin","100g",1.1
"3569","1.22","7.5235042735","-5.5487925002","0.314159265359",1.23627488683,"3.06375312368",7.5235042735,-5.5487925002,-1.35588135134425,0.962061866019,"30cm","spin","100g",1.2
"3570","1.24","7.67307692308","-5.57928018256","0.349065850399",1.28475625494,"0.90902565208",7.67307692308,-5.57928018256,-1.37528080182546,0.9835831329852,"30cm","spin","100g",1.3
"3571","1.26","7.67307692308","-5.51830481784","0.366519142919",1.28475625494,"-2.02005700462",7.67307692308,-5.51830481784,-1.39047718028803,0.9854123939268,"30cm","spin","100g",1.3
"3572","1.28","7.46367521368","-5.3353787237","0.401425727959",1.21203420277,"-4.91547204458",7.46367521368,-5.3353787237,-1.39890260845514,0.959489920341,"30cm","spin","100g",1.2
"3573","1.3","7.34401709402","-5.27440335899","0.418879020479",0.993868046275,"-3.2320912074",7.34401709402,-5.27440335899,-1.39238821799672,0.9433704633333,"30cm","spin","100g",1
"3574","1.32","7.46367521368","-5.45732945313","0.436332312999",0.993868046275,"2.12105985485",7.46367521368,-5.45732945313,-1.3676424115094,0.9558313984581,"30cm","spin","100g",1
"3575","1.34","7.58333333333","-5.64025554727","0.453785605519",1.18779351872,"3.03008550693",7.58333333333,-5.64025554727,-1.3445017286496,0.9682923335814,"30cm","spin","100g",1.2
"3576","1.36","7.40384615385","-5.48781713549","0.488692190558",1.21203420277,"-0.336676167437",7.40384615385,-5.48781713549,-1.34914228573123,0.9459424090128,"30cm","spin","100g",1.2
"3577","1.38","7.25427350427","-5.21342799428","0.506145483078",1.06659009844,"-0.0336676167437",7.25427350427,-5.21342799428,-1.39145942213629,0.9317381858121,"30cm","spin","100g",1.1
"3578","1.4","7.40384615385","-5.18294031192","0.523598775598",1.21203420277,"0.134670466975",7.40384615385,-5.18294031192,-1.42850307128219,0.9550887137199,"30cm","spin","100g",1.2
